Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
boston-254-Customize,Boston,"<p>So classic and consistently comfortable, the Boston clog has become a coveted, year-round favorite. Suede lends an effortless feel to the style, with an oiled leather strap for a heritage touch. Designed around a contoured footbed, this style feels better and better with wear. Contoured cork-latex footbed creates custom support with wear Classic suede upper, oiled leather strap Suede footbed lining Flexible EVA sole Adjustable strap with metal pin buckle Made in Germany The natural leather that we use is mostly smooth leather, in some cases tumbled leather. This type of leather has many special characteristics, such as breathability, adaptation to the shape of the foot and durability.</p>",Birkenstock,,Customize,"Customize,What's New,The Latest,Fall Collection",TRUE,Men,6-6.5,Color,254,,,BOS_254_665_001,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,https://www.birkenstock.com/dw/image/v2/BDXC_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfc7cc2ab/1029185/1029185_detail-1.jpg?sw=1500&sh=1500,1,Boston,FALSE,Boston,"So classic and consistently comfortable, the Boston clog has become a coveted, year-round favorite. Suede lends an effortless feel to the style, with an oiled leather strap for a heritage touch. Designed around a contoured footbed, this style feels better",212,unisex,adult,,new,TRUE,,g,,,TRUE,79.97,159.95,TRUE,79.97,159.95,active
boston-254-Customize,,,,,,,,Men,7-7.5,Color,254,,,BOS_254_775_002,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,8-8.5,Color,254,,,BOS_254_885_003,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,9-9.5,Color,254,,,BOS_254_995_004,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,10-10.5,Color,254,,,BOS_254_10105_005,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,11-11.5,Color,254,,,BOS_254_11115_006,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,12-12.5,Color,254,,,BOS_254_12125_007,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,13-13.5,Color,254,,,BOS_254_13135_008,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,14-14.5,Color,254,,,BOS_254_14145_009,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
boston-254-Customize,,,,,,,,Men,15-15.5,Color,254,,,BOS_254_15155_010,500,shopify,100,deny,manual,79.97,159.95,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
